tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio,invest_por_MW
UTE,UTE Quirinópolis,Reserva,Leilão 5/2010,80.0,22.5,10,133.5,Quririnópolis/GO,Bagaço de Cana-de-Açúcar,PIE,106509000.0,USJ Açúcar e Álcool S.A.,1331362.5
UTE,UTE São Fernando Energia I,Reserva,Leilão 5/2010,50.0,36.0,"3,5",154.4,Dourados/MS,Bagaço de Cana-de-Açúcar,PIE,105984500.0,São Fernando Energia I Ltda.,2119690.0
UTE,UTE São José Colina,Reserva,Leilão 5/2010,83.0,51.0,"33,4",134.9,Colina/SP,Bagaço de Cana-de-Açúcar,PIE,121850000.0,Companhia Energética São José,1468072.2891566264
EOL ,EOL Aratuá 3,FA,Leilão 7/2010,28.8,11.2,"11,2",137.77,Caiçara do Norte/RN,Vento,PIE,113760000.0,Aratuá Central Geradora Eólica S.A.,3950000.0
EOL ,EOL Arizona 1,FA,Leilão 7/2010,28.0,12.9,"12,3",134.59,RN,Vento,PIE,113201730.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4042918.9285714286
EOL ,EOL Asa Branca I,FA,Leilão 7/2010,30.0,13.2,"13,2",135.4,Parazinho/RN,Vento,PIE,111000000.0,"Consórcio Asa Branca I:
Energimp S.A. (88%)
Asa Branca I Energias Renováveis Ltda. (12%)",3700000.0
EOL ,EOL Asa Branca II,FA,Leilão 7/2010,30.0,12.8,"12,8",135.4,Parazinho/RN,Vento,PIE,111000000.0,"Consórcio Asa Branca II:
Energimp S.A. (88%)
Asa Branca I Energias Renováveis Ltda. (12%)",3700000.0
EOL ,EOL Asa Branca III,FA,Leilão 7/2010,30.0,12.5,"12,5",135.4,Parazinho/RN,Vento,PIE,111000000.0,"Consórcio Asa Branca III:
Energimp S.A. (88%)
Asa Branca I Energias Renováveis Ltda. (12%)",3700000.0
EOL ,EOL Asa Branca IV,FA,Leilão 7/2010,30.0,14.0,14,133.0,Parazinho/RN,Vento,PIE,111000000.0,Asa Branca IV Energias Renováveis Ltda.,3700000.0
EOL ,EOL Asa Branca V,FA,Leilão 7/2010,30.0,13.7,"13,6",133.0,Parazinho/RN,Vento,PIE,111000000.0,Asa Branca V Energias Renováveis Ltda.,3700000.0
EOL ,EOL Asa Branca VI,FA,Leilão 7/2010,30.0,14.4,"14,4",133.0,João Câmara/RN,Vento,PIE,111000000.0,Asa Branca VI Energias Renováveis Ltda.,3700000.0
EOL ,EOL Asa Branca VII,FA,Leilão 7/2010,30.0,14.3,"14,3",133.0,Parazinho/RN,Vento,PIE,110970000.0,Asa Branca VII Energias Renováveis Ltda.,3699000.0
EOL ,EOL Asa Branca VIII,FA,Leilão 7/2010,30.0,13.6,"13,5",133.0,Parazinho/RN,Vento,PIE,111000000.0,Asa Branca VIII Energias Renováveis Ltda.,3700000.0
EOL ,EOL Atlântica I,FA,Leilão 7/2010,30.0,13.1,"13,1",135.0,Palmares do Sul/RS,Vento,PIE,114752740.0,"Cobra do Peixe ERB:
Cobra Instalaciones Y Servicios S.A. (99,97%)
Barra do Peixe Montagens e Serviços Ltda. (0,02%)
Energía Regenerativa Brasil Ltda. (0,01%)",3825091.3333333335
EOL ,EOL Atlântica II,FA,Leilão 7/2010,30.0,12.9,"12,9",135.0,Palmares do Sul/RS,Vento,PIE,114752740.0,"Cobra do Peixe ERB:
Cobra Instalaciones Y Servicios S.A. (99,97%)
Barra do Peixe Montagens e Serviços Ltda. (0,02%)
Energía Regenerativa Brasil Ltda. (0,01%)",3825091.3333333335
EOL ,EOL Atlântica IV,FA,Leilão 7/2010,30.0,13.0,13,135.0,Palmares do Sul/RS,Vento,PIE,114752740.0,"Cobra do Peixe ERB:
Cobra Instalaciones Y Servicios S.A. (99,97%)
Barra do Peixe Montagens e Serviços Ltda. (0,02%)
Energía Regenerativa Brasil Ltda. (0,01%)",3825091.3333333335
EOL ,EOL Atlântica V,FA,Leilão 7/2010,30.0,13.7,"13,7",135.0,Palmares do Sul/RS,Vento,PIE,114752740.0,"Cobra do Peixe ERB:
Cobra Instalaciones Y Servicios S.A. (99,97%)
Barra do Peixe Montagens e Serviços Ltda. (0,02%)
Energía Regenerativa Brasil Ltda. (0,01%)",3825091.3333333335
EOL ,EOL Caetité 2,FA,Leilão 7/2010,30.0,11.2,11,137.99,Caetité/BA,Vento,PIE,136513300.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4550443.333333333
EOL ,EOL Caetité 3,FA,Leilão 7/2010,30.0,11.2,"11,1",137.99,Caetité/BA,Vento,PIE,136513300.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4550443.333333333
EOL ,EOL Calango 1,FA,Leilão 7/2010,30.0,13.9,"13,8",132.8,Bodó/RN,Vento,PIE,130353270.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4345109.0
EOL ,EOL Calango 2,FA,Leilão 7/2010,30.0,11.9,"11,8",132.8,Bodó/RN,Vento,PIE,136410070.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4547002.333333333
EOL ,EOL Calango 3,FA,Leilão 7/2010,30.0,13.9,"13,8",132.8,Bodó/RN,Vento,PIE,130353270.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4345109.0
EOL ,EOL Calango 4,FA,Leilão 7/2010,30.0,12.8,"12,8",132.8,Bodó/RN,Vento,PIE,136410070.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4547002.333333333
EOL ,EOL Calango 5,FA,Leilão 7/2010,30.0,13.7,"13,6",132.8,Bodó/RN,Vento,PIE,136410070.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4547002.333333333
EOL ,EOL Casa Nova,FA,Leilão 7/2010,180.0,61.4,"61,4",131.5,BA,Vento,PIE,842166280.0,Companhia Hidro Elétrica do São Francisco - CHESF,4678701.555555556
EOL ,EOL Costa Branca,FA,Leilão 7/2010,20.7,9.8,"9,8",130.43,João Câmara/RN,Vento,PIE,91526000.0,SPE Costa Branca Energia S.A.,4421545.893719807
EOL ,EOL DREEN Boa Vista,FA,Leilão 7/2010,12.6,6.3,"5,7",137.99,Pedra Grande/RN,Vento,PIE,63884930.0,Dreen Brasil Investimentos e Participações S.A.,5070232.53968254
EOL ,EOL DREEN Olho D'água,FA,Leilão 7/2010,30.0,15.3,"14,9",133.97,São Bento do Norte/RN,Vento,PIE,145188020.0,Dreen Brasil Investimentos e Participações S.A.,4839600.666666667
EOL ,EOL DREEN São Bento do Norte,FA,Leilão 7/2010,30.0,14.6,14,133.97,São Bento do Norte/RN,Vento,PIE,143098590.0,Dreen Brasil Investimentos e Participações S.A.,4769953.0
EOL ,EOL Eurus IV,FA,Leilão 7/2010,30.0,13.7,"13,7",135.4,Parazinho/RN,Vento,PIE,111000000.0,"Consórcio Central Geral Eólica Eurus
Energimp S.A. (88%)
Central Geradora Eólica Eurus IV S.A. (12%)",3700000.0
EOL ,EOL Farol,FA,Leilão 7/2010,19.8,10.1,"9,1",133.97,São Bento do Norte/RN,Vento,PIE,90685890.0,Dreen Brasil Investimentos e Participações S.A.,4580095.454545454
EOL ,EOL Juremas,FA,Leilão 7/2010,16.1,7.6,"7,5",136.01,João Câmara/RN,Vento,PIE,71186890.0,SPE Juremas Energia S.A.,4421545.962732919
EOL ,EOL Macacos,FA,Leilão 7/2010,20.7,9.8,"9,7",136.01,João Câmara/RN,Vento,PIE,91526000.0,SPE Macacos Energia S.A.,4421545.893719807
EOL ,EOL Mel 02,FA,Leilão 7/2010,20.0,9.8,"9,3",132.8,Areia Branca/RN,Vento,PIE,89862380.0,"Consórcio Iberdrola Renováveis e Neoenergia:
Iberdrola Renováveis Do Brasil S.A. (2%)
Iberdrola Renovables S.A. (48%)
Neoenergia S.A. (50%)",4493119.0
EOL ,EOL Osório 3,FA,Leilão 7/2010,26.0,10.5,"10,3",137.79,Osório/RS,Vento,PIE,132459300.0,"Consórcio Elecnor-Enerfin LFA 07
Enerfin do Brasil Sociedade de Energia Ltda (64%)
Elecnor S.A. (36%)",5094588.461538462
EOL ,EOL Pedra Branca,FA,Leilão 7/2010,28.8,12.2,"12,2",132.5,Sento Sé/BA,Vento,PIE,129600000.0,"Consórcio Pedra Branca:
Brennand Energia S.A. (50,9%)
Companhia Hidro Elétrica do São Francisco (49,9%)
Brennand Energia Eólica S.A. (0,1%)",4500000.0
EOL ,EOL Pedra Preta,FA,Leilão 7/2010,20.7,10.3,"10,1",130.43,João Câmara/RN,Vento,PIE,91526000.0,SPE Pedra Preta Energia S.A.,4421545.893719807
EOL ,EOL Pontal 2B,FA,Leilão 7/2010,10.8,4.2,"4,2",134.81,Viamão/RS,Vento,PIE,69971680.0,OLEOPLAN S.A. - Oleos Vegetais Planalto,6478859.259259258
EOL ,EOL REB Cassino I,FA,Leilão 7/2010,24.0,8.9,"8,9",136.59,Rio Grande/RS,Vento,PIE,102351080.0,REB Empreendimentos e Administrações de Bens S.A.,4264628.333333333
EOL ,EOL REB Cassino II,FA,Leilão 7/2010,21.0,8.0,8,136.6,Rio Grande/RS,Vento,PIE,89776490.0,REB Empreendimentos e Administrações de Bens S.A.,4275070.952380952
EOL ,EOL REB Cassino III,FA,Leilão 7/2010,24.0,9.5,"9,5",136.58,Rio Grande/RS,Vento,PIE,102351080.0,REB Empreendimentos e Administrações de Bens S.A.,4264628.333333333
EOL ,EOL Renascença I,FA,Leilão 7/2010,30.0,14.0,"13,2",132.0,Parazinho/RN,Vento,PIE,143434000.0,"Consórcio Renascença I:
Renascença I Energias Renováveis Ltda. (0,01%)
Energisa S.A. (99,99%)",4781133.333333333
EOL ,EOL Renascença II,FA,Leilão 7/2010,30.0,14.2,"12,6",126.0,Parazinho/RN,Vento,PIE,143434000.0,"Consórcio Renascença II:
Renascença II Energias Renováveis Ltda. (0,01%)
Energisa S.A. (99,99%)",4781133.333333333
EOL ,EOL Renascença III,FA,Leilão 7/2010,30.0,14.1,"11,8",118.0,Parazinho/RN,Vento,PIE,143434000.0,"Consórcio Renascença III:
Renascença III Energias Renováveis Ltda. (0,01%)
Energisa S.A. (99,99%)",4781133.333333333
EOL ,EOL Renascença IV,FA,Leilão 7/2010,30.0,14.0,"11,2",112.0,Parazinho/RN,Vento,PIE,143434000.0,"Consórcio Renascença IV:
Renascença IV Energias Renováveis Ltda. (0,01%)
Energisa S.A. (99,99%)",4781133.333333333
EOL ,EOL São Pedro do Lago,FA,Leilão 7/2010,28.8,13.5,"13,2",132.5,Sento Sé/BA,Vento,PIE,129600000.0,"Consórcio São Pedro do Lago:
Brennand Energia S.A. (50,9%)
Companhia Hidro Elétrica do São Francisco (49,9%)
Brennand Energia Eólica S.A. (0,1%)",4500000.0
EOL ,EOL Sete Gameleiras,FA,Leilão 7/2010,28.8,12.6,"12,5",132.5,Sento Sé/BA,Vento,PIE,129600000.0,"Consórcio Sete Gameleiras:
Brennand Energia S.A. (50,9%)
Companhia Hidro Elétrica do São Francisco - CHESF (49,9%)
Brennand Energia Eólica S.A. (0,1%)",4500000.0
EOL ,EOL Vento Formoso,FA,Leilão 7/2010,30.0,13.5,"13,5",135.0,Ubajara/CE,Vento,PIE,111000000.0,"Consórcio Vento Formoso:
Energimp S.A. (88%)
Vento Formoso Energias Renovaveis Ltda. (12%)",3700000.0
EOL ,EOL Ventos de São Miguel,FA,Leilão 7/2010,30.0,12.4,"10,9",109.0,Parazinho/RN,Vento,PIE,111000000.0,"Consórcio São Miguel:
Ventos de São Miguel Energias Renováveis Ltda. (0,01%)
Energisa S.A. (99,99%)",3700000.0
EOL ,EOL Ventos de Tianguá,FA,Leilão 7/2010,30.0,13.1,"13,1",133.4,Tianguá/CE,Vento,PIE,111000000.0,"Consórcio Ventos de Tianguá
Energimp S.A. (88%)
Ventos do Tianguá Energias Renováveis Ltda. (12%)",3700000.0
EOL ,EOL Ventos de Tianguá Norte,FA,Leilão 7/2010,30.0,14.1,"14,1",141.0,Tianguá/CE,Vento,PIE,111000000.0,"Consórcio Ventos de Tianguá Norte:
Energimp S.A. (88%)
Ventos do Tianguá Norte Energias Renováveis Ltda. (12%)",3700000.0
EOL ,EOL Ventos do Morro do Chapéu,FA,Leilão 7/2010,30.0,13.1,"13,1",133.4,Tianguá/CE,Vento,PIE,111000000.0,"Consórcio Ventos do Morro do Chapéu:
Energimp S.A. (88%)
Ventos do Morro do Chapéu Energias Renováveis Ltda. (12%)",3700000.0
EOL ,EOL Ventos do Parazinho,FA,Leilão 7/2010,30.0,14.0,14,133.32,Ubajara/CE,Vento,PIE,111000000.0,"Consórcio Ventos do Parazinho:
Energimp S.A. (88%)
Ventos do Parazinho Energias Renováveis Ltda. (12%)",3700000.0
PCH,PCH Cavernoso II,FA,Leilão 7/2010,19.0,10.6,"7,6",146.99,Virmond e Candói/PR ,Água,PIE,101639520.0,COPEL Geração e Transmissão S.A.,5349448.421052632
PCH,PCH Galheiros I,FA,Leilão 7/2010,11.0,6.4,"6,4",144.5,GO ,Água,PIE,37718960.0,Galheiros Geração de Energia Elétrica S.A.,3428996.3636363638
PCH,PCH Queixada,FA,Leilão 7/2010,30.0,21.6,"16,6",148.39,Itarumã e Aporé/GO ,Água,PIE,198628220.0,Queixada Energética S.A.,6620940.666666667
PCH,PCH Salto Goes,FA,Leilão 7/2010,20.0,11.1,"11,1",147.47,"Tangará,/SC ",Água,PIE,125476590.0,SPE Salto Góes Energia S.A.,6273829.5
PCH,PCH Unaí Baixo,FA,Leilão 7/2010,21.0,12.7,"6,4",144.98,Unaí/MG ,Água,PIE,124763000.0,Unaí Baixo Energética S.A.,5941095.238095238
UTE,UTE Mandu,FA,Leilão 7/2010,65.0,36.5,"22,3",137.92,Guaíra/SP,Bagaço de Cana-de-Açúcar,PIE,98300000.0,Usina Mandu S.A.,1512307.6923076923
UHE,UHE Santo Antonio do Jari,A-5,Leilão 4/2010,300.0,196.1,190,104.0,AP,Água,PIE,1537495000.0,"Consórcio Amapá Energia – CAE:
ECE Participações S.A. (líder) (90%)
Jari Energética S.A (10%)",5124983.333333333
UHE,UHE Jirau (Ampliação),A-3,Leilão 2/2011,450.0,209.3,209,102.0,RO ,Água,PIE,1514278640.0,Energia Sustentável do Brasil S.A.,3365063.644444444
EOL,EOL Ametista,A-3,Leilão 2/2011,28.8,13.9,"13,9",98.53,BA ,Vento,PIE,113200030.0,Renova Energia S.A.,3930556.597222222
UTE,UTE Baixada Fluminense,A-3,Leilão 2/2011,530.0,430.2,299,104.75,RJ ,Gás Natural,PIE,986321620.0,Petróleo Brasileiro S.A.,1860984.1886792453
EOL,EOL Borgo,A-3,Leilão 2/2011,19.2,9.7,"9,7",98.53,BA ,Vento,PIE,56602030.0,Renova Energia S.A.,2948022.3958333335
EOL,EOL Caetité,A-3,Leilão 2/2011,28.8,14.7,"14,3",98.53,BA ,Vento,PIE,113200030.0,Renova Energia S.A.,3930556.597222222
EOL,EOL Cataventos Paracuru 1,A-3,Leilão 2/2011,30.0,14.2,"14,2",102.97,CE ,Vento,PIE,117432000.0,"Consórcio Cataventos Paracuru 1:
Cataventos do Paracuru, Ltda
Tecneira - Tecnologias Energéticas, S.A.",3914400.0
EOL,EOL Cerro Chato IV,A-3,Leilão 2/2011,10.0,3.3,"3,3",97.17,RS ,Vento,PIE,52057910.0,"Consórcio Cerro Chato IV:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Fundação Eletrosul de Previdência e Assistência Social - ELOS",5205791.0
EOL,EOL Cerro Chato V,A-3,Leilão 2/2011,12.0,4.0,4,96.85,RS ,Vento,PIE,59592770.0,"Consórcio Cerro Chato V: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Fundação Eletrosul de Previdência e Assistência Social - ELOS",4966064.166666667
EOL,EOL Cerro Chato VI,A-3,Leilão 2/2011,30.0,9.3,"9,3",96.39,RS ,Vento,PIE,127406580.0,"Consórcio Cerro Chato VI: :
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Fundação Eletrosul de Previdência e Assistência Social - ELOS",4246886.0
EOL,Cerro dos Trindade,A-3,Leilão 2/2011,8.0,2.8,"2,8",97.32,RS ,Vento,PIE,44523030.0,"Consórcio Cerro dos Trindade: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Fundação Eletrosul de Previdência e Assistência Social - ELOS",5565378.75
EOL,EOL Chuí I,A-3,Leilão 2/2011,24.0,10.2,"10,2",102.55,RS ,Vento,PIE,91305000.0,"Consórcio Chuí I: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Chuí Energia Eólica Ltda.",3804375.0
EOL,EOL Chuí II,A-3,Leilão 2/2011,22.0,8.9,"8,9",102.89,RS ,Vento,PIE,84030000.0,"Consórcio Chuí II:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Chuí Energia Eólica Ltda.",3819545.4545454546
EOL,EOL Chuí IV,A-3,Leilão 2/2011,22.0,8.8,"8,8",102.91,RS ,Vento,PIE,84030000.0,"Consórcio Chuí IV:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Chuí Energia Eólica Ltda.",3819545.4545454546
EOL,EOL Chuí V,A-3,Leilão 2/2011,30.0,12.5,"12,5",103.78,RS ,Vento,PIE,114065000.0,"Consórcio Chuí V:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Chuí Energia Eólica Ltda.",3802166.6666666665
EOL,EOL Delta do Parnaíba,A-3,Leilão 2/2011,28.8,15.0,"14,8",100.13,PI ,Vento,PIE,108568910.0,"Consórcio Omega - Complexo Delta: 
Omega Energia Renovável S.A.
Seawest do Brasil - Projetos e Participações Ltda.
Zeta Energia S.A.",3769753.8194444445
EOL,EOL Dourados,A-3,Leilão 2/2011,28.8,13.2,"13,2",98.53,BA ,Vento,PIE,113200030.0,Renova Energia S.A.,3930556.597222222
EOL,EOL Emiliana,A-3,Leilão 2/2011,27.2,12.7,"4,5",98.51,BA ,Vento,PIE,135093600.0,"Consórcio EGP - Curva dos Ventos: 
Enel Brasil Participações Ltda.
Parque Eólico Curva dos Ventos Ltda",4966676.470588235
EOL,EOL Espigão,A-3,Leilão 2/2011,9.6,5.0,"4,9",98.53,BA ,Vento,PIE,44023020.0,Renova Energia S.A.,4585731.25
UTE,UTE Iaco,A-3,Leilão 2/2011,30.0,12.8,4,101.99,MS ,Bagaço de Cana-de-Açúcar,PIE,74276490.0,Iaco Agrícola S.A.,2475883.0
EOL,EOL Ibirapuitã I,A-3,Leilão 2/2011,30.0,9.6,"9,6",96.49,RS ,Vento,PIE,127406580.0,"Consórcio Ibirapuitã I: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Fundação Eletrosul de Previdência e Assistência Social - ELOS",4246886.0
EOL,EOL Joana,A-3,Leilão 2/2011,25.6,12.2,"5,9",98.5,BA ,Vento,PIE,130672800.0,"Consórcio EGP - Curva dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Curva dos Ventos Ltda",5104406.25
UTE,UTE Maranhão III,A-3,Leilão 2/2011,499.2,470.7,400,101.9,MA ,Gás Natural,PIE,1111055000.0,MPX Energia S.A.,2225671.073717949
EOL,EOL Maron,A-3,Leilão 2/2011,28.8,15.4,"13,8",98.53,BA ,Vento,PIE,113200030.0,Renova Energia S.A.,3930556.597222222
EOL,EOL Minuano I,A-3,Leilão 2/2011,22.0,9.4,"9,4",101.34,RS ,Vento,PIE,84030000.0,"Consórcio Minuano I: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Minuano Energia Eólica Ltda.",3819545.4545454546
EOL,EOL Minuano II,A-3,Leilão 2/2011,24.0,10.1,"10,1",100.62,RS ,Vento,PIE,91305000.0,"Consórcio Minuano II: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Minuano Energia Eólica Ltda.",3804375.0
EOL,EOL Modelo I,A-3,Leilão 2/2011,28.8,15.9,"3,6",98.52,RN ,Vento,PIE,117492370.0,"Consórcio EGP- Endesa: 
Enel Brasil Participações Ltda.
Endesa Brasil S.A.",4079596.1805555555
EOL,EOL Modelo II,A-3,Leilão 2/2011,24.0,12.4,"2,8",98.53,RN ,Vento,PIE,98422790.0,"Consórcio EGP- Endesa 
Enel Brasil Participações Ltda.
Endesa Brasil S.A.",4100949.5833333335
UTE,UTE Paranapanema,A-3,Leilão 2/2011,60.0,24.7,"12,4",101.49,SP ,Bagaço de Cana-de-Açúcar,PIE,107100000.0,UMOE Bioenergy S.A.,1785000.0
UTE,UTE Passa Tempo,A-3,Leilão 2/2011,67.8,24.2,"21,8",103.29,MS ,Bagaço de Cana-de-Açúcar,PIE,139709320.0,LDC Bioenergia S.A.,2060609.4395280236
EOL,EOL Pau Ferro,A-3,Leilão 2/2011,30.0,14.9,"5,5",98.54,PE ,Vento,PIE,145200000.0,"Consórcio EGP - Fontes dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Fontes dos Ventos Ltda.",4840000.0
EOL,EOL Pedra do Gerônimo,A-3,Leilão 2/2011,30.0,12.4,"3,6",98.56,PE ,Vento,PIE,139980000.0,"Consórcio EGP - Fontes dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Fontes dos Ventos Ltda.",4666000.0
EOL,EOL Pelourinho,A-3,Leilão 2/2011,22.4,11.8,"11,8",98.53,BA ,Vento,PIE,88047030.0,Renova Energia S.A.,3930670.9821428573
EOL,EOL Pilões,A-3,Leilão 2/2011,28.8,15.5,"13,1",98.53,BA ,Vento,PIE,113200030.0,Renova Energia S.A.,3930556.597222222
EOL,EOL Porto das Barcas,A-3,Leilão 2/2011,28.8,14.8,"8,9",100.16,PI ,Vento,PIE,108568910.0,"Consórcio Omega - Complexo Delta: 
Omega Energia Renovável S.A.
Seawest do Brasil - Projetos e Participações Ltda.
Zeta Energia S.A.",3769753.8194444445
EOL,EOL Porto Salgado,A-3,Leilão 2/2011,18.0,9.1,"9,1",100.17,PI ,Vento,PIE,67855580.0,"Consórcio Omega - Porto Salgado 
Omega Energia Renovável S.A.
Zeta Energia S.A.",3769754.4444444445
EOL,EOL Santo Antonio de Pádua,A-3,Leilão 2/2011,16.1,8.2,"6,4",104.23,CE ,Vento,PIE,61727000.0,Central Eólica Santo Antônio de Pádua S.A.,3833975.1552795027
EOL,EOL São Cristóvão,A-3,Leilão 2/2011,29.9,14.2,"12,9",103.79,CE ,Vento,PIE,111343000.0,Central Eólica São Cristóvão S.A.,3723846.153846154
EOL,EOL São Jorge,A-3,Leilão 2/2011,27.6,13.2,"12,1",103.98,CE ,Vento,PIE,104897000.0,Central Eólica São Jorge S.A.,3800615.9420289854
EOL,EOL Serra do Espinhaço,A-3,Leilão 2/2011,17.6,8.9,"8,9",98.53,BA ,Vento,PIE,69179030.0,Renova Energia S.A.,3930626.704545454
EOL,EOL Tacaicó,A-3,Leilão 2/2011,18.0,8.8,4,98.55,PE ,Vento,PIE,89724000.0,"Consórcio EGP - Fontes dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Fontes dos Ventos Ltda.",4984666.666666667
UTE,UTE Vale do Tijuco II,A-3,Leilão 2/2011,40.0,30.0,9,102.3,MG ,Bagaço de Cana-de-Açúcar,PIE,68720000.0,Vale do Tijuco Açúcar e Álcool Ltda.,1718000.0
EOL,EOL Verace I,A-3,Leilão 2/2011,20.0,8.5,"8,5",98.5,RS ,Vento,PIE,76110000.0,"Consórcio Verace I: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3805500.0
EOL,EOL Verace II,A-3,Leilão 2/2011,20.0,8.3,"8,3",98.64,RS ,Vento,PIE,76110000.0,"Consórcio Verace II: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3805500.0
EOL,EOL Verace III,A-3,Leilão 2/2011,26.0,11.0,11,98.19,RS ,Vento,PIE,98944000.0,"Consórcio Verace III: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3805538.4615384615
EOL,EOL Verace IV,A-3,Leilão 2/2011,30.0,13.1,"13,1",97.74,RS ,Vento,PIE,114065000.0,"Consórcio Verace VI: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3802166.6666666665
EOL,EOL Verace IX,A-3,Leilão 2/2011,30.0,12.7,"12,7",98.21,RS ,Vento,PIE,114065000.0,"Consórcio Verace IX:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3802166.6666666665
EOL,EOL Verace V,A-3,Leilão 2/2011,30.0,12.4,"12,4",98.21,RS ,Vento,PIE,114065000.0,"Consórcio Verace V:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3802166.6666666665
EOL,EOL Verace VI,A-3,Leilão 2/2011,18.0,7.6,"7,6",98.47,RS ,Vento,PIE,68511000.0,"Consórcio Verace VI:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3806166.6666666665
EOL,EOL Verace VII,A-3,Leilão 2/2011,30.0,12.7,"12,7",97.86,RS ,Vento,PIE,114065000.0,"Consórcio Verace VII:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3802166.6666666665
EOL,EOL Verace VIII,A-3,Leilão 2/2011,26.0,10.8,"10,8",98.19,RS ,Vento,PIE,98944000.0,"Consórcio Verace VIII:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3805538.4615384615
EOL,EOL Verace X,A-3,Leilão 2/2011,28.0,12.1,"12,1",98.43,RS ,Vento,PIE,106568000.0,"Consórcio Verace X
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda.",3806000.0
EOL,EOL Angical,Reserva,Leilão 3/2011,16.0,6.0,6,99.98,Pindaí/BA,Vento,PIE,67582050.0,"Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda.",4223878.125
